title; artist; yt views; genius views; lastfm views; genius/yt; lastfm/yt
Big Energy; Latto; 71578489; 271922; 328364; 0.00379893; 0.00458747
F.N.F. (Let's Go); Hitkidd; 98190471; 193499; 152952; 0.00197065; 0.00155771
Yeah Glo!; GloRilla; 95409124; 217613; 22; 0.00228084; 0.00000023
Made For Me; Muni Long; 104735698; 236427; 278001; 0.00225737; 0.00265431
On My Mama; Victoria Monét; 115978981; 89458; 346746; 0.00077133; 0.00298973
Doja; Central Cee; 255930849; 1203259; 692845; 0.00470150; 0.00270716
Sprinter; Dave; 382046181; 1731344; 731508; 0.00453177; 0.00191471
love nwantiti (ah ah ah); CKay; 617315143; 542847; 5015; 0.00087937; 0.00000812
soso; OMAH LAY; 277674816; 143947; 186144; 0.00051840; 0.00067037
you broke me first; Tate McRae; 348078523; 509282; 893085; 0.00146312; 0.00256576
abcdefu; GAYLE; 291732003; 677004; 594617; 0.00232064; 0.00203823
Ghost; Justin Bieber; 512615629; 760216; 878509; 0.00148301; 0.00171378
Late Night Talking; Harry Styles; 84807350; 684216; 1086636; 0.00806789; 0.01281299
Used To Be Young; Miley Cyrus; 80980119; 1116386; 361377; 0.01378593; 0.00446254
Chemical; Post Malone; 90573339; 284164; 539934; 0.00313739; 0.00596129
Take My Breath; The Weeknd; 203704789; 445508; 868653; 0.00218703; 0.00426427
Die For You - Remix; The Weeknd; 626561362; 946859; 2038679; 0.00151120; 0.00325376
Karma; Taylor Swift; 78904534; 1605215; 1070740; 0.02034376; 0.01357007
Is It Over Now? (Taylor's Version) (From The Vault); Taylor Swift; 35377729; 2605379; 97; 0.07364461; 0.00000274
Anti-Hero; Taylor Swift; 242236003; 2314154; 470; 0.00955330; 0.00000194
Savage Love (Laxed - Siren Beat); Jawsh 685; 12530227; 341950; 200; 0.02729001; 0.00001596
